molecule_name,score
rxn:2:122689:169537,0.12088233849097943
rxn:2:99046:123403,0.12087087009264075
rxn:2:131373:166234,0.1208669940630595
rxn:2:66651:118774,0.12084967146317165
rxn:2:112914:159258,0.12082579961189857
rxn:2:126818:89838,0.12076289455095927
rxn:2:84393:169604,0.12073962505047138
rxn:2:99046:140099,0.1207134375969569
rxn:2:93894:141213,0.12071292102336884
rxn:2:145788:119826,0.12070948839187622
rxn:2:89710:156520,0.12070002638060472
rxn:2:122689:131279,0.12066720361294954
rxn:2:73830:116842,0.1206612357726464
rxn:2:122689:172265,0.12063813635281154
rxn:2:99046:165319,0.12057764883394595
rxn:2:120516:120822,0.12057577188198383
rxn:2:143189:157648,0.12057568771498543
rxn:2:148561:120822,0.12057072144967539
rxn:2:118285:141988,0.12054586869019729
rxn:2:137210:170892,0.12051171522874099
rxn:2:73830:81125,0.12050854123157004
rxn:2:88449:116842,0.12042293640283439
rxn:2:93894:96010,0.12042151888211568
rxn:2:131373:154249,0.12038838863372803
rxn:2:93894:116842,0.12038576144438523
rxn:2:73830:154249,0.12038332911638114
rxn:2:145788:110041,0.12037709951400757
rxn:2:137210:66791,0.12035180628299713
rxn:2:135979:155326,0.12034663447627315
rxn:2:125845:113626,0.12028336241131737
rxn:2:71158:140099,0.12027559181054433
rxn:2:119048:150743,0.12027198076248169
rxn:2:125845:94543,0.12024887041612105
rxn:2:145788:133432,0.12023940792790165
rxn:2:166916:95550,0.12021351089844337
rxn:2:89710:89838,0.12018267313639323
rxn:2:88449:165319,0.12016404116595233
rxn:2:80594:172618,0.12011880599535428
rxn:2:131907:135906,0.1201026269367763
rxn:2:84393:169326,0.12010049590697655
rxn:2:130370:169340,0.12009114247781259
rxn:2:120516:155096,0.12003453131075259
rxn:2:162522:75079,0.12002878904342651
rxn:2:95640:157648,0.1200250818811614
rxn:2:130370:113963,0.11999130249023438
rxn:2:169659:123403,0.11998384197552998
rxn:2:119048:123403,0.11997917023572055
rxn:2:122689:123403,0.1199544590452443
rxn:2:78534:134530,0.11994745731353759
rxn:2:143189:149170,0.11993169784545898
rxn:2:110995:116515,0.11992255926132202
rxn:2:166916:136054,0.11987815618515014
rxn:2:143189:89838,0.11984413146972656
rxn:2:138608:144543,0.11983467753116901
rxn:2:162522:68807,0.11980178952217102
rxn:2:122689:169604,0.11978462448826542
rxn:2:150920:165969,0.11978455446660519
rxn:2:117866:82371,0.11976927259693974
rxn:2:148561:154249,0.11976807883807591
rxn:2:148561:120359,0.11976693153381347
rxn:2:139810:116842,0.11975927043844152
rxn:2:89710:85686,0.11972592771053314
rxn:2:145788:165969,0.11971202890078227
rxn:2:131907:80888,0.11970444321632386
rxn:2:119048:131279,0.1196662729436701
rxn:2:145788:131279,0.1196445369720459
rxn:2:93894:127220,0.11961905906597774
rxn:2:71158:165969,0.11960437042372567
rxn:2:118285:134530,0.11959943771362305
rxn:2:78534:116842,0.11959363584933073
rxn:2:126818:169604,0.11958826439721244
rxn:2:122689:136054,0.11953814651655115
rxn:2:112914:134530,0.11952406167984009
rxn:2:131373:115254,0.11949014663696289
rxn:2:126818:94410,0.1194594179590543
rxn:2:145788:113626,0.11944740056991578
rxn:2:139810:169537,0.11941675941149393
rxn:2:88449:157648,0.11940990044520451
rxn:2:135979:80888,0.119382469550423
rxn:2:73830:87651,0.1193322738011678
rxn:2:89710:166287,0.11932328769138881
rxn:2:95640:169340,0.11931949853897095
rxn:2:89710:142273,0.11927501802091245
rxn:2:73830:94410,0.1192210783129153
rxn:2:131907:169604,0.11918081343173981
rxn:2:131373:86408,0.11914187102090745
