name,score
rxn:2:154815:142183,0.15692257313501268
rxn:2:69022:94314,0.12891698425466364
rxn:2:90768:68807,0.1403731256723404
rxn:2:93026:152446,0.10715194940567016
rxn:2:110352:173012,0.13095569881525906
rxn:2:67562:170060,0.15997513409318595
rxn:2:141397:170514,0.13941987564689234
rxn:2:124198:91582,0.13509959266299293
rxn:2:141397:171231,0.157589852809906
rxn:2:127917:172375,0.13989178339640299
rxn:2:73951:171492,0.11355429649353027
rxn:2:141397:142160,0.10846230189005533
rxn:2:120564:169412,0.12027151107788087
rxn:2:94771:170999,0.10703737735748291
rxn:2:141397:146037,0.15298745930194854
rxn:2:138527:170411,0.14652862631041427
rxn:2:140868:170235,0.14624106884002686
rxn:2:73951:88103,0.13520142294111706
rxn:2:141397:170288,0.12708444344369987
rxn:1:43756:28754,0.07377543672919273
rxn:2:110829:171231,0.11887516425206111
rxn:2:134689:170060,0.13827321264478895
rxn:2:86811:109025,0.14370325759605126
rxn:2:141397:110310,0.15215829891317031
rxn:2:69576:152446,0.13079281789915903
rxn:2:92382:111053,0.1198645896381802
rxn:2:141397:169366,0.12068773128769615
rxn:2:69619:96010,0.131352910289058
rxn:2:141397:138958,0.1321082069323613
rxn:2:122568:170060,0.1518672933945289
rxn:2:110352:171423,0.11431698365644975
rxn:1:42029:28813,0.12418658971786499
rxn:2:117865:156984,0.12582500378290812
rxn:2:95901:142183,0.1327049970626831
rxn:2:108919:152446,0.11372975202707145
rxn:2:77440:171231,0.13068480292956033
rxn:2:132002:123403,0.15060987075169882
rxn:2:141544:107408,0.14606368257885888
rxn:2:138606:170060,0.140064537525177
rxn:2:103216:169412,0.12878800321508338
rxn:2:140399:87722,0.10627320550736927
rxn:2:120815:172375,0.13714193380795991
rxn:2:132002:73940,0.13356699297825494
rxn:2:79984:172751,0.1347197821507087
rxn:2:91950:170060,0.15215232570966084
rxn:2:92882:102419,0.1190151572227478
rxn:2:92382:171179,0.1164481368931857
rxn:2:113063:101264,0.14496770112410837
rxn:2:73951:170026,0.1079402778829847
rxn:2:110352:156047,0.15145885131575845
rxn:2:125425:68807,0.15133577364462394
rxn:2:77397:170060,0.14719002321362495
rxn:2:142033:170913,0.10660048609688169
rxn:2:94771:172265,0.12044559354367464
rxn:1:65013:28813,0.14670852571725845
rxn:2:141397:161575,0.14453166723251343
rxn:2:110352:151136,0.14662277698516846
rxn:2:122351:169305,0.14104165136814117
rxn:1:43975:38380,0.12120526401620162
