Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn4.csv
Molecules: 2207
Detail:    /root/workspace/nova-4090/data/rxn4_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (793 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
        210126       1    0.1063224697    0.1063224697
        184346       1    0.1062629612    0.1062629612
        200136       1    0.1061264885    0.1061264885
        180030       1    0.1060857678    0.1060857678
        188139       1    0.1060735186    0.1060735186
        200138       1    0.1060177088    0.1060177088
        218476       1    0.1059366905    0.1059366905
        191392       1    0.1059093788    0.1059093788
        188512       1    0.1058929441    0.1058929441
        188371       1    0.1058639521    0.1058639521
        218400       1    0.1057826777    0.1057826777
        205079       1    0.1056784153    0.1056784153
        211586       1    0.1054516922    0.1054516922
        188123       1    0.1054138163    0.1054138163
        191363       1    0.1054014776    0.1054014776
        198977       1    0.1052974576    0.1052974576
        215315       1    0.1052069093    0.1052069093
        211422       1    0.1050946358    0.1050946358
        188623       1    0.1047675786    0.1047675786
        188514       1    0.1045298550    0.1045298550
        202844       1    0.1044492783    0.1044492783
        178688       1    0.1043850566    0.1043850566
        180945       1    0.1042259979    0.1042259979
        188720       1    0.1041443398    0.1041443398
        198818       1    0.1041415876    0.1041415876
        198844       1    0.1041166257    0.1041166257
        199453       1    0.1041155159    0.1041155159
        186063       1    0.1041010122    0.1041010122
        188589       1    0.1040184446    0.1040184446
        216458       1    0.1039346183    0.1039346183
        193264       1    0.1038833592    0.1038833592
        196032       1    0.1036748290    0.1036748290
        179454       1    0.1036495008    0.1036495008
        191426       1    0.1033710945    0.1033710945
        218326       1    0.1032380253    0.1032380253
        191397       1    0.1031313340    0.1031313340
        210029       1    0.1031172898    0.1031172898
        217296       1    0.1031172898    0.1031172898
        204235       1    0.1030090912    0.1030090912
        179654       1    0.1029540145    0.1029540145
        208397       1    0.1029298007    0.1029298007
        194867       1    0.1028592730    0.1028592730
        188714       1    0.1028134851    0.1028134851
        212338       1    0.1027717420    0.1027717420
        218439       1    0.1027580963    0.1027580963
        210395       1    0.1026966795    0.1026966795
        200133       1    0.1026529206    0.1026529206
        211447       1    0.1026055677    0.1026055677
        211895       1    0.1025597000    0.1025597000
        198405       1    0.1022153937    0.1022153937
        192208       1    0.1021867774    0.1021867774
        188527       1    0.1021329964    0.1021329964
        217493       1    0.1020496289    0.1020496289
        192104       1    0.1020241781    0.1020241781
        201248       1    0.1019573164    0.1019573164
        210140       1    0.1017186046    0.1017186046
        206708       1    0.1017180264    0.1017180264
        205040       1    0.1015673578    0.1015673578
        216577       1    0.1015544365    0.1015544365
        205013       1    0.1015427758    0.1015427758
        205038       1    0.1014848960    0.1014848960
        218108       1    0.1013682059    0.1013682059
        185991       1    0.1013495564    0.1013495564
        198753       1    0.1013455689    0.1013455689
        202848       1    0.1012927095    0.1012927095
        205265       1    0.1012526647    0.1012526647
        216511       1    0.1012415114    0.1012415114
        178685       1    0.1010252237    0.1010252237
        178759       1    0.1009093631    0.1009093631
        179726       1    0.1007502476    0.1007502476
        198474       1    0.1005582495    0.1005582495
        220838       1    0.1005186913    0.1005186913
        178777       1    0.1003895033    0.1003895033
        178756       1    0.1001548457    0.1001548457
        196130       1    0.1000211304    0.1000211304
        200140       1    0.0999027093    0.0999027093
        192176       1    0.0998557247    0.0998557247
        199121       1    0.0994776869    0.0994776869
        210314       1    0.0990616083    0.0990616083
        181032       1    0.0989087721    0.0989087721
        211384       1    0.0988704136    0.0988704136
        188724       1    0.0988075069    0.0988075069
        177298       1    0.0986602848    0.0986602848
        195543       1    0.0985562659    0.0985562659
        178633       1    0.0984556783    0.0984556783
        210206       1    0.0983482396    0.0983482396
        210428       1    0.0982471808    0.0982471808
        191581       1    0.0981934485    0.0981934485
        208318       1    0.0979951648    0.0979951648
        199054       1    0.0979850882    0.0979850882
        208036       1    0.0979472756    0.0979472756
