# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn5.csv
# molecules_analyzed: 3454
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
1,195957,1,0.1114274522,0.1114274522
1,182637,1,0.1111135979,0.1111135979
1,196771,1,0.1110132952,0.1110132952
1,198915,1,0.1109763055,0.1109763055
1,179404,1,0.1109122243,0.1109122243
1,195794,1,0.1108050069,0.1108050069
1,192082,1,0.1107395334,0.1107395334
1,180723,1,0.1105468236,0.1105468236
1,180143,1,0.1104859277,0.1104859277
1,195323,1,0.1104277411,0.1104277411
1,182504,1,0.1103703213,0.1103703213
1,197420,1,0.1102946021,0.1102946021
1,195463,1,0.1102800429,0.1102800429
1,199281,1,0.1099122329,0.1099122329
1,181067,1,0.1098349896,0.1098349896
1,191978,1,0.1098226309,0.1098226309
1,182949,1,0.1097115103,0.1097115103
1,198626,1,0.1096176925,0.1096176925
1,195089,1,0.1094797116,0.1094797116
1,191698,1,0.1094781246,0.1094781246
1,182737,1,0.1093224724,0.1093224724
1,181279,1,0.1092819715,0.1092819715
1,181418,1,0.1091341617,0.1091341617
1,181424,1,0.1090983283,0.1090983283
1,199280,1,0.1090601177,0.1090601177
1,182844,1,0.1090567690,0.1090567690
1,188515,1,0.1089857471,0.1089857471
1,192336,1,0.1089090277,0.1089090277
1,198436,1,0.1088422053,0.1088422053
1,196415,1,0.1087905918,0.1087905918
1,195912,1,0.1085362775,0.1085362775
1,194447,1,0.1084881329,0.1084881329
1,199077,1,0.1083419291,0.1083419291
1,192431,1,0.1083342042,0.1083342042
1,199096,1,0.1081451348,0.1081451348
1,195958,1,0.1081040151,0.1081040151
1,195606,1,0.1080933898,0.1080933898
1,178149,1,0.1080191731,0.1080191731
1,180203,1,0.1080040038,0.1080040038
1,196416,1,0.1079546968,0.1079546968
1,180233,1,0.1079545652,0.1079545652
1,198656,1,0.1079517688,0.1079517688
1,198242,1,0.1078754044,0.1078754044
1,181579,1,0.1077957688,0.1077957688
1,180445,1,0.1077550258,0.1077550258
1,177280,1,0.1076996326,0.1076996326
1,194943,1,0.1076923884,0.1076923884
1,178847,1,0.1076910243,0.1076910243
1,195789,1,0.1076393936,0.1076393936
1,188955,1,0.1075692321,0.1075692321
1,199169,1,0.1074238546,0.1074238546
1,181549,1,0.1073076766,0.1073076766
1,182440,1,0.1072144796,0.1072144796
1,180602,1,0.1071331427,0.1071331427
1,192424,1,0.1068972687,0.1068972687
1,179392,1,0.1068298479,0.1068298479
1,198323,1,0.1068075399,0.1068075399
1,198235,1,0.1068016511,0.1068016511
1,182739,1,0.1067979574,0.1067979574
1,181413,1,0.1067167372,0.1067167372
1,196873,1,0.1067134483,0.1067134483
1,197568,1,0.1067030074,0.1067030074
1,199102,1,0.1064851745,0.1064851745
1,195462,1,0.1064736992,0.1064736992
1,180020,1,0.1064300249,0.1064300249
1,195793,1,0.1064127264,0.1064127264
1,180202,1,0.1063653711,0.1063653711
1,182574,1,0.1063587896,0.1063587896
1,192569,1,0.1062643275,0.1062643275
1,194139,1,0.1062353569,0.1062353569
1,182819,1,0.1061188777,0.1061188777
1,176993,1,0.1060877769,0.1060877769
1,179787,1,0.1060668568,0.1060668568
1,198746,1,0.1059876169,0.1059876169
1,183064,1,0.1059445322,0.1059445322
1,195318,1,0.1059280396,0.1059280396
1,198649,1,0.1058943272,0.1058943272
1,179205,1,0.1057762822,0.1057762822
1,181420,1,0.1057440042,0.1057440042
1,182839,1,0.1056560333,0.1056560333
1,198747,1,0.1056315715,0.1056315715
1,181071,1,0.1056241355,0.1056241355
1,197760,1,0.1055894215,0.1055894215
1,198445,1,0.1055446975,0.1055446975
1,179548,1,0.1055412254,0.1055412254
1,195433,1,0.1055397162,0.1055397162
1,179393,1,0.1054740667,0.1054740667
1,180413,1,0.1054511701,0.1054511701
1,198641,1,0.1053971319,0.1053971319
1,198662,1,0.1051524789,0.1051524789
