molecule_name,score,max_hist_sim,hf_unique,brenk_ok,shelf_ok
rxn:1:59234:31110,0.11792731972841117,1.0,False,False,False
rxn:1:61753:22801,0.1178805005961451,1.0,False,False,False
rxn:1:59225:28683,0.11786819858984514,1.0,False,True,False
rxn:1:45982:10393,0.11777344616976651,1.0,False,True,False
rxn:1:51956:10393,0.11773550510406494,1.0,False,True,False
rxn:1:52279:10477,0.11770419563565936,1.0,False,True,False
rxn:1:52409:23568,0.11762253046035767,1.0,False,False,False
rxn:1:55326:10477,0.11755895614624023,1.0,False,True,False
rxn:1:55268:10393,0.1174392830580473,1.0,False,True,False
rxn:1:62995:23568,0.11742518186569213,1.0,False,True,False
rxn:1:61675:23568,0.11742518186569213,1.0,False,True,False
rxn:1:48333:23564,0.11741361767053604,1.0,False,False,False
rxn:1:59225:28697,0.1173560619354248,1.0,False,True,False
rxn:1:59255:23485,0.11733660896619161,1.0,False,False,False
rxn:1:55769:31765,0.11733043193817139,1.0,False,False,False
rxn:1:55892:10393,0.11731410387790564,1.0,False,True,False
rxn:1:52404:33027,0.11731129698455334,1.0,False,True,False
rxn:1:50325:17924,0.1172570139169693,1.0,False,False,False
rxn:1:62561:22700,0.11724525910836679,1.0,False,False,False
rxn:1:57797:1570,0.11720168789227804,1.0,False,False,False
rxn:1:40240:10393,0.11717002237996747,1.0,False,True,False
rxn:1:55737:10477,0.11712329703218796,1.0,False,True,False
rxn:1:49437:24034,0.1171064816023174,1.0,False,False,False
rxn:1:55033:10477,0.11706934124231339,1.0,False,True,False
rxn:1:45871:10501,0.11702118551029879,1.0,False,True,False
rxn:1:52414:23566,0.11694760719935099,1.0,False,False,False
rxn:1:42204:23568,0.11691843748092651,1.0,True,True,False
rxn:1:51952:120,0.11690783885217482,1.0,False,True,False
rxn:1:55291:10393,0.1168489083647728,1.0,False,True,False
rxn:1:55508:10477,0.11684208566492255,1.0,False,True,False
rxn:1:59225:22740,0.11676553450524807,0.9333333333333333,True,False,False
rxn:1:55892:10477,0.11672398623298197,1.0,False,True,False
rxn:1:45697:23485,0.11668248834281132,1.0,False,False,False
rxn:1:45610:10477,0.11666734290845467,1.0,False,True,False
rxn:1:52452:23485,0.116663807822812,1.0,False,False,False
rxn:1:55769:31307,0.11666036798403813,1.0,False,False,False
rxn:1:55416:31781,0.11661332845687866,0.8235294117647058,True,False,False
rxn:1:62792:22740,0.1165824681520462,0.8490566037735849,True,False,False
rxn:1:55771:10503,0.11656058175223215,1.0,False,True,False
rxn:1:56056:10393,0.11652507150874418,1.0,False,True,False
rxn:1:59225:14045,0.1165087620417277,1.0,False,True,False
rxn:1:56029:10477,0.11644794940948486,1.0,False,True,False
rxn:1:45955:23585,0.11643210361743796,0.8529411764705882,True,False,False
rxn:1:45931:10503,0.116430059501103,1.0,False,True,False
rxn:1:45655:10477,0.11632379618558017,1.0,False,True,False
rxn:1:57404:10393,0.1163231941961473,1.0,False,True,False
rxn:1:55268:10477,0.11626517050194018,1.0,False,True,False
rxn:1:52340:11890,0.11618001185930692,1.0,False,False,False
rxn:1:55652:10393,0.11616536342736447,0.9041095890410958,True,True,False
rxn:1:55344:10393,0.11615290120244026,1.0,False,True,False
rxn:1:45983:10477,0.11614890308941112,1.0,False,True,False
rxn:1:59255:120,0.1160992883866833,1.0,False,False,False
rxn:1:59239:2007,0.1160655176198041,0.6896551724137931,True,False,False
rxn:1:50076:10477,0.11601971898760115,1.0,False,True,False
rxn:1:40965:10477,0.11599832071977503,1.0,False,True,False
rxn:1:45815:10393,0.1159392125678785,1.0,False,True,False
rxn:1:45867:10393,0.11591653209744078,1.0,False,True,False
rxn:1:45955:120,0.11590432736181444,1.0,False,False,False
rxn:1:59226:23485,0.11589491168657938,1.0,False,False,False
rxn:1:62688:39255,0.1158668663766649,1.0,False,False,False
rxn:1:45697:120,0.11586473385492961,0.7887323943661971,True,False,False
rxn:1:55401:10393,0.1158326081931591,1.0,False,True,False
rxn:1:55652:10477,0.11579674482345581,1.0,False,True,False
rxn:1:40240:10477,0.11575596407055855,1.0,False,True,False
rxn:1:59225:2473,0.1157261539589275,1.0,True,True,False
rxn:1:44436:23538,0.11571985277636297,0.7323943661971831,True,False,False
