name,score,max_hist_sim
rxn:2:101490:164117,0.11344605882962545,1.0
rxn:2:90533:157188,0.11341163888573647,1.0
rxn:2:103485:148983,0.11338897744814555,1.0
rxn:2:122532:158710,0.11338425299216962,0.75
rxn:2:129331:158710,0.11333041007702167,0.7424242424242424
rxn:2:86568:145209,0.11330129154797258,0.8412698412698413
rxn:2:127747:129212,0.11329906753131322,0.875
rxn:2:93685:147854,0.11324389227505388,0.7205882352941176
rxn:2:101490:157804,0.11318922229111195,1.0
rxn:2:102433:149983,0.1131883422533671,0.8676470588235294
rxn:2:87285:145209,0.11316353288190119,0.7794117647058824
rxn:2:71886:156548,0.11314491232236226,0.8484848484848485
rxn:2:68085:145209,0.11312200694248595,1.0
rxn:2:144952:157753,0.11311204234759013,1.0
rxn:2:131011:149983,0.1131095290184021,1.0
rxn:2:83020:157753,0.11310669007124724,1.0
rxn:2:86444:147854,0.11309359471003215,1.0
rxn:2:157192:160388,0.11307557062669234,1.0
rxn:2:92918:157753,0.11301379464566708,1.0
rxn:2:119262:165909,0.11296692387811069,0.7611940298507462
rxn:2:79461:107408,0.11296240091323853,1.0
rxn:2:111568:124273,0.11295010284944014,1.0
rxn:2:70758:145209,0.11290487550920056,0.7671232876712328
rxn:2:122968:145209,0.11290003259976705,1.0
rxn:2:121718:173019,0.11288934201002121,1.0
rxn:2:103485:161792,0.11288446572519117,0.8059701492537313
rxn:2:101348:93947,0.11288371393757482,0.5789473684210527
rxn:2:96587:158710,0.11285655536959248,1.0
rxn:2:72307:156548,0.11283516032355172,1.0
rxn:2:132953:145209,0.11283029770029002,0.7536231884057971
rxn:2:123420:94960,0.1128253181775411,0.8450704225352113
rxn:2:127741:151299,0.1128044292844575,1.0
rxn:2:93632:117630,0.11276670932769775,0.7903225806451613
rxn:2:109584:157652,0.11275611000676308,1.0
rxn:2:150051:165909,0.11273490720325047,1.0
rxn:2:164524:157652,0.11273048434938704,0.775
rxn:2:138947:151299,0.11272616633053484,0.7464788732394366
rxn:2:119262:145452,0.11272579226000555,1.0
rxn:2:112858:84519,0.11272305488586426,0.6923076923076923
rxn:2:150051:142264,0.11270130508475834,1.0
rxn:2:103609:149983,0.11267706271140807,0.7878787878787878
rxn:2:81768:148983,0.11267458159348061,1.0
rxn:2:104861:145209,0.11265797861691179,0.8059701492537313
rxn:2:135416:145209,0.11265615759224727,1.0
rxn:2:103485:173019,0.11263533309102058,1.0
rxn:2:109269:145209,0.11263075779224264,1.0
rxn:2:125192:145209,0.1126284914858201,0.7066666666666667
rxn:2:118833:117380,0.11261087656021118,1.0
rxn:2:114168:150565,0.11257882760121272,1.0
rxn:2:127301:145452,0.11256770933828046,0.8115942028985508
rxn:2:156650:157753,0.11256369948387146,0.7108433734939759
rxn:2:80896:158710,0.1125523602520978,1.0
rxn:2:101490:157753,0.11252582650030812,1.0
rxn:2:136440:158710,0.1125237407355473,1.0
rxn:2:123420:149365,0.11251812596474925,0.8767123287671232
rxn:2:123011:148672,0.11251548926035564,0.6410256410256411
rxn:2:136201:165126,0.11250013305294898,0.7808219178082192
rxn:2:123420:133780,0.11249643138476781,1.0
rxn:2:159695:157652,0.1124386021069118,0.717948717948718
rxn:2:102132:145452,0.1124375343322754,0.7575757575757576
